tournament_name,year,venue_name,venue_address,venue_city,venue_country,court_surface,num_courts,indoor_outdoor
,2026,Sport Forum Alsdorf,,Alsdorf - Germany,Alsdorf - Germany,,,
,2026,: iPadel MelbourneCourt Conditions: Indoor courts (no outside game),": 3B Newlands Rd, Reservoir, Victoria, 3073Website: iPadel Melbourne | Padel Tennis Court Hire & Padel Ball ClubA valid national player license is required.Australian players can obtain one through pa.tournamentsoftware.com/memberships",Melbourne - Australia,Melbourne - Australia,,,Indoor
,2026,Family Sport Center,,Valencia - Spain,Valencia - Spain,,,Indoor
,2026,Game4Padel Docklands,"206 Lorimer St, Docklands VIC 3008",Melbourne - Australia,Melbourne - Australia,,,
,2026,Padelshot Mondeville,"17 Rue Joseph Philippon, 14000 Caen",Caen,Caen - France,,,Indoor
,2026,ACADEMIA RAFA NADAL,"Ctra. Calas de Mallorca, s/n km 1.2 07500 Manacor (Islas Baleares)",Manacor,Mallorca - Spain,,10.0,Indoor
,2026,Hotel Name,"West Bay Doha Ak Shatt St, 18181 Doha",Doha,Doha - Qatar,,,
,2026,VPadel Area,"Ajmera I-Land Rd, Wadala East, Bhakti Park, Chembur, Mumbai, Maharashtra 400009, India",Mumbai - India,Mumbai - India,,,Outdoor
,2026,VPadel Arena,+63 916 551 5417,Mumbai - India,Mumbai - India,,,
,2026,FAMILY SPORT CENTER,"Carrer del Barranc, Carrer de la Mota, 50, 46469 Beniparrell, Valencia",Beniparrell,Beniparrell - Valencia,,,Indoor
,2026,Website: www.hexagoncup.comNumber of Match Courts: 2Number of,"Camino de Perales, 23, Usera, 28041 Madrid Post navigationNextNext EventGENERALI HEXAGON CUP 2026 Official Automotive Partner",Official Automotive Partner,Madrid - Spain,,,
,2026,Khalifa International Tennis and Squash Complex,Al Majles Twaon Street – Doha,Doha - Qatar,Doha - Qatar,,,Outdoor
,2026,PADEL SAN ANTONIO,AV SAN JUAN 4617,San Antonio - Chile,San Antonio - Chile,,,Outdoor
,2026,Padel Arena Fastweb Perugia,"Via Alessandro Volta, 1 Ponte Giovanni (PG)",Perugia - Italy,Perugia - Italy,,,Indoor
,2026,PALAIS DES SPORTS DE MARSEILLE,"41 Rue Gustave Eiffel, 13010 Marseille",Marseille,Marseille - France,,,Indoor
,2026,Clube Quinta do Padel,"Rampa da Quinta do Leme nª14A, 9020-316 - Funchal",Madeira - Portugal,Madeira - Portugal,,,
,2026,WPA Bahrain,"Ibis Seef Hotel Bahrain Bldg. 456, Manama, Bahrain",Bahrain,Bahrain,,,Indoor
,2026,Tennis Space,,Kaunas - Lithuania,Kaunas - Lithuania,,,
