rank,player,country,points,image
22  -,Javier Garrido,ESP,2528,https://www.padelfip.com/wp-content/uploads/2023/02/Javier-Garrido.png
23  -,Javier Garcia,ESP,2500,https://www.padelfip.com/wp-content/uploads/2023/02/Javier-Garcia-1.png
24  -,Javier Barahona,ESP,2475,https://www.padelfip.com/wp-content/uploads/2023/02/bARAHONA-C.png
25  -,Pablo Cardona,ESP,2400,https://www.padelfip.com/wp-content/uploads/2023/02/Pablo-Cardona-2.png
26  -,Alejandro Arroyo,ESP,2354,https://www.padelfip.com/wp-content/uploads/2023/02/Arroyo-2.png
27  -,Juanlu Esbri,ESP,2292,https://www.padelfip.com/wp-content/uploads/2023/02/41-Juanlu-Esbri-1.png
28  -,Lucas Campagnolo,BRA,2280,https://www.padelfip.com/wp-content/uploads/2023/02/Lucas-Campagnolo.png
29  -,Alex Chozas,ARG,2252,/wp-content/themes/padelfiptheme/assets/img/placeholder-man.png
30  -,Jairo Bautista,ESP,2201,https://www.padelfip.com/wp-content/uploads/2023/02/Bautista-1.png
31  -,Carlos Daniel Gutierrez,ARG,2148,https://www.padelfip.com/wp-content/uploads/2023/02/Gutierrez-3.png
32  -,Inigo Jofre,UAE,1941,https://www.padelfip.com/wp-content/uploads/2023/02/INIGO-JOFRE-CENTRALI_.png
33  -,Jose Antonio Diestro,ESP,1935,https://www.padelfip.com/wp-content/uploads/2023/02/36-Jose-Diestro.png
34  -,Victor Ruiz,ESP,1794,https://www.padelfip.com/wp-content/uploads/2023/02/18-RUIZ-1.png
35  -,David Gala Sanchez,ESP,1736,https://www.padelfip.com/wp-content/uploads/2024/11/David-Gala-Sanchez.png
36  -,Jose Jimenez Casas,ESP,1591,https://www.padelfip.com/wp-content/uploads/2023/02/Jimene.png
37  -,Pablo Garcia Rodrigo,ESP,1580,https://www.padelfip.com/wp-content/uploads/2023/02/Pablo-Garcia-Rodrigo-3.png
38 1,Javier Ruiz,ESP,1518,https://www.padelfip.com/wp-content/uploads/2023/02/30-Javier-Ruiz-1.png
39 1,Francisco Cabeza Teres,ESP,1506,https://www.padelfip.com/wp-content/uploads/2024/11/Cabeza-f.png
39 1,Pol Hernandez Alvarez,ESP,1506,https://www.padelfip.com/wp-content/uploads/2024/11/Pol-Hernandez-Alvarez.png
