rank,player,country,points,image
22  -,Patricia Llaguno Zielinski,ESP,2965,https://www.padelfip.com/wp-content/uploads/2023/02/17-Llaguno.png
23  -,Jessica Castello Lopez,ESP,2480,https://www.padelfip.com/wp-content/uploads/2023/02/10-Castello.png
24  -,Raquel Eugenio Barrera,ESP,2380,https://www.padelfip.com/wp-content/uploads/2023/03/Raquel-Eugenio.png
25  -,Martina Fassio Goyeneche,ARG,2370,https://www.padelfip.com/wp-content/uploads/2024/01/Martina-Fassio-Goyeneche.png
26  -,Lorena Rufo Ortiz,ESP,2190,https://www.padelfip.com/wp-content/uploads/2023/02/24-Rufo-3.png
27  -,Marta Barrera De La Fuente,ESP,2185,https://www.padelfip.com/wp-content/uploads/2023/02/Marta-Barrera-1.png
28  -,Jimena Velasco Postiguillo,ESP,2115,https://www.padelfip.com/wp-content/uploads/2023/03/Jimena-Velasco-1.png
29  -,Carolina Orsi,ITA,1960,https://www.padelfip.com/wp-content/uploads/2024/01/Carolina-Orsi-1.png
30  -,Marta Caparros Maldonado,ESP,1885,https://www.padelfip.com/wp-content/uploads/2023/02/CAPARROS-MARTA-3-centrale.png
31  -,Araceli Martinez,ESP,1845,https://www.padelfip.com/wp-content/uploads/2024/01/Araceli-Martinez.png
32  -,Noa Canovas Paredes,ESP,1820,https://www.padelfip.com/wp-content/uploads/2023/03/Noa-Canovas-c.png
33  -,Ksenia Sharifova,RUS,1815,https://www.padelfip.com/wp-content/uploads/2023/02/Ksenia-Sharifova.png
34  -,Alix Collombon,FRA,1800,https://www.padelfip.com/wp-content/uploads/2023/02/25-Collombon.png
35  -,Virginia Riera,ARG,1716,https://www.padelfip.com/wp-content/uploads/2023/02/Virginia-Riera-5.png
36  -,Maria Eulalia Rodriguez Abajo,ESP,1690,https://www.padelfip.com/wp-content/uploads/2023/02/Maria-Eulalia-Abajo-centrale.png
37  -,Nuria Rodriguez,ESP,1655,https://www.padelfip.com/wp-content/uploads/2023/02/23-Nuria.png
38  -,Lucia Martinez Gomez,ESP,1650,https://www.padelfip.com/wp-content/uploads/2023/02/Lucia-Martinez-Gomez-1.png
39  -,Julieta Evangelina Bidahorria,ARG,1575,https://www.padelfip.com/wp-content/uploads/2023/02/Julieta-Bidahorria-1.png
40  -,Ana Catarina Nogueira,POR,1565,https://www.padelfip.com/wp-content/uploads/2023/02/Ana-Catarina-Nogueira-2.png
