event_name,event_url,event_year,day_number,day_label,court,round,team1,team2,score,status
,https://www.padelfip.com/events/fip-bronze-merlbourne-padel-open-2026/,2026,1,JAN 7 WED,Court 3,Men Q1,R. Achkar S. Paris (1),P. Deliyannis K. Lofts,6-3 2-6 6 6-7,
,https://www.padelfip.com/events/fip-bronze-merlbourne-padel-open-2026/,2026,1,JAN 7 WED,Court 2,Men Q1,O. Bartosh F. Mendieta Ruiz,C. Giles J. Suryadi,6-0 6-1,
,https://www.padelfip.com/events/fip-bronze-merlbourne-padel-open-2026/,2026,1,JAN 7 WED,Court 1,Men Q1,A. Freeman R. Digbydiercks,D. McMullen A. Diprose (2 - WC),6-0 6-0,
,https://www.padelfip.com/events/fip-bronze-merlbourne-padel-open-2026/,2026,1,JAN 7 WED,Court 4,Men Q1,M. Cipri N. Cipri,T. Nilsson L. Corker (WC),7-6 6-3,
,https://www.padelfip.com/events/fip-bronze-merlbourne-padel-open-2026/,2026,2,JAN 8 THU,Court 3,Men Round of 32,S. Esteban Barroso L. Miranda Santos (6),V. Velickovic S. Ashenden,7-5 6-4,
,https://www.padelfip.com/events/fip-bronze-merlbourne-padel-open-2026/,2026,2,JAN 8 THU,Court 1,Men Round of 32,J. Wright T. Lanyon,D. Hall H. Van Der Meulen,6-3 3-6 6-3,
,https://www.padelfip.com/events/fip-bronze-merlbourne-padel-open-2026/,2026,2,JAN 8 THU,Court 1,Men Round of 32,C. Dollimore T. Garton (7),W. Meintjes A. Ruiz Cotorro Sagastizabal,6-2 7-5,
,https://www.padelfip.com/events/fip-bronze-merlbourne-padel-open-2026/,2026,2,JAN 8 THU,Court 4,Men Round of 32,O. Bartosh F. Mendieta Ruiz (Q),M. Barrelle C. O'Shannessy,6-3 6-2,
,https://www.padelfip.com/events/fip-bronze-merlbourne-padel-open-2026/,2026,2,JAN 8 THU,Court 2,Men Round of 32,R. Daley V. Nyström,D. Arredondo Garcia L. Oliver Artigas (3),0-6 2-6,
,https://www.padelfip.com/events/fip-bronze-merlbourne-padel-open-2026/,2026,2,JAN 8 THU,Court 4,Men Round of 32,P. Izquierdo Cuerda I. Ybañez Cuerda (WC),G. Figuerola Santiago R. Belmont Pastor (2),2-6 4-6,
,https://www.padelfip.com/events/fip-bronze-merlbourne-padel-open-2026/,2026,2,JAN 8 THU,Court 3,Men Round of 32,R. Taylor A. Pi Alarcon,A. Keogh J. Trifunovic,6-4 6-3,
,https://www.padelfip.com/events/fip-bronze-merlbourne-padel-open-2026/,2026,2,JAN 8 THU,Court 2,Men Round of 32,T. Dougan O. Quarry,S. Barbe A. Plazaola Zabala (WC),6-1 6-2,
,https://www.padelfip.com/events/fip-bronze-merlbourne-padel-open-2026/,2026,2,JAN 8 THU,Court 4,Men Round of 32,A. Freeman R. Digbydiercks (Q),S. Suselo N. Koesoemahadi (8),7-6 4 6-2,
,https://www.padelfip.com/events/fip-bronze-merlbourne-padel-open-2026/,2026,2,JAN 8 THU,Court 3,Men Round of 32,P. Deliyannis K. Lofts (Q),A. Basso A. Martinez,6-3 2-6 2-6,
,https://www.padelfip.com/events/fip-bronze-merlbourne-padel-open-2026/,2026,2,JAN 8 THU,Court 1,Men Round of 32,O. Bazaley P. Thadani,H. Kitao K. Momokawa,2-6 3-6,
,https://www.padelfip.com/events/fip-bronze-merlbourne-padel-open-2026/,2026,2,JAN 8 THU,Court 2,Men Round of 32,G. Wakim S. Guimet Bigas (4),R. Gaylard B. Falk,6-0 6-0,
,https://www.padelfip.com/events/fip-bronze-merlbourne-padel-open-2026/,2026,2,JAN 8 THU,Court 2,Men Round of 32,S. Kusakabe T. Brown,A. Ferreira Van Holstein T. Stalgis,6-2 7-5,
,https://www.padelfip.com/events/fip-bronze-merlbourne-padel-open-2026/,2026,2,JAN 8 THU,Court 4,Men Round of 32,A. Melisi D. Bechard,S. Narde J. Laabs,6-1 6-0,
