tournament_name,category,dates,venue,prize_money,status,url,image,month,year,location
Riyadh Season P1,P1,07-14 February 2025,"PADEL RUSH ARENA,","€479,068",Upcoming,https://premierpadel.com/tournaments-upcoming/riyadh-season-p1-4,https://premierpadel.com/_next/image?url=%2F_next%2Fstatic%2Fmedia%2Ftourmajor.a9ebb894.jpg&w=3840&q=75,January,2025,Unknown
Gijón P2,P2,02-08 March 2025,Unknown,Unknown,Upcoming,https://premierpadel.com/tournaments-upcoming/gijon-p2-2,https://premierpadel.com/_next/image?url=%2F_next%2Fstatic%2Fmedia%2Ftourmajor.a9ebb894.jpg&w=3840&q=75,May,2025,Unknown
Cancún P2,P2,16-22 March 2025,Unknown,Unknown,Upcoming,https://premierpadel.com/tournaments-upcoming/cancun-p2-2,https://premierpadel.com/_next/image?url=%2F_next%2Fstatic%2Fmedia%2Ftourmajor.a9ebb894.jpg&w=3840&q=75,May,2025,Unknown
Miami P1,P1,23-29 March 2025,Unknown,Unknown,Upcoming,https://premierpadel.com/tournaments-upcoming/miami-p1,https://premierpadel.com/_next/image?url=%2F_next%2Fstatic%2Fmedia%2Ftourmajor.a9ebb894.jpg&w=3840&q=75,May,2025,Unknown
Qatar Major,MAJOR,06-11 April 2025,Unknown,Unknown,Upcoming,https://premierpadel.com/tournaments-upcoming/qatar-major-2,https://premierpadel.com/_next/image?url=%2F_next%2Fstatic%2Fmedia%2Ftourmajor.a9ebb894.jpg&w=3840&q=75,June,2025,Unknown
Newgiza P2,P2,13-18 April 2025,Unknown,Unknown,Upcoming,https://premierpadel.com/tournaments-upcoming/newgiza-p2-3,https://premierpadel.com/_next/image?url=%2F_next%2Fstatic%2Fmedia%2Ftourmajor.a9ebb894.jpg&w=3840&q=75,June,2025,Unknown
Brussels P2,P2,20-26 April 2025,Unknown,Unknown,Upcoming,https://premierpadel.com/tournaments-upcoming/brussels-p2-3,https://premierpadel.com/_next/image?url=%2F_next%2Fstatic%2Fmedia%2Ftourmajor.a9ebb894.jpg&w=3840&q=75,June,2025,Unknown
Asuncion P2,P2,04-10 May 2025,Unknown,Unknown,Upcoming,https://premierpadel.com/tournaments-upcoming/asuncion-p2-2,https://premierpadel.com/_next/image?url=%2F_next%2Fstatic%2Fmedia%2Ftourmajor.a9ebb894.jpg&w=3840&q=75,July,2025,Unknown
Buenos Aires P1,P1,11-17 May 2025,Unknown,Unknown,Upcoming,https://premierpadel.com/tournaments-upcoming/buenos-aires-p1-2,https://premierpadel.com/_next/image?url=%2F_next%2Fstatic%2Fmedia%2Ftourmajor.a9ebb894.jpg&w=3840&q=75,July,2025,Unknown
Italy Major,MAJOR,01-07 June 2025,Unknown,Unknown,Upcoming,https://premierpadel.com/tournaments-upcoming/italy-major-2,https://premierpadel.com/_next/image?url=%2F_next%2Fstatic%2Fmedia%2Ftourmajor.a9ebb894.jpg&w=3840&q=75,August,2025,Unknown
